      loan_id,Age     ,   Gender,    no_of_dependents,Number_of_Existing_Loans   ,Existing_Customer   , Education,    Employment, income, loan_amount,    loan_term, cibil_score     , residential_assets_value    ,LTV_Ratio, loan_status        
808,27,Female,3,1,No, Non Graduate,Self-Employed,28000,105696,36,608,247000,83.15, Approved
809,21,Female,3,0,No, Non Graduate,Salaried,43000,119855,36,335,202000,79.63, Rejected
810,70,Male,3,0,Yes, Non Graduate,Salaried,0,149335,36,677,194000,95, Approved
811,50,Female,1,2,Yes, Non Graduate,Salaried,39000,28538,60,491,218000,45.22,Rejected
812,30,Female,2,3,Yes, Non Graduate,Unemployed,29000,70388,72,763,143000,58.54, Approved
813,37,Female,5,3,No, Non Graduate,Self-Employed,62000,34866,18,809,229000,95, Approved
814,24,Female,5,2,No, Non Graduate,Self-Employed,71000,114613,60,544,238000,66.25, Rejected
815,36,Male,1,3,No,       Graduate,Student,28000,41249,36,624,150000,73.98, Approved
816,64,Female,3,1,No,       Graduate,Salaried,73000,150000,12,388,238000,59.86, Rejected
817,70,Male,4,0,No,       Graduate,Unemployed,0,150000,36,644,222000,94.31, Approved
818,42,Male,0,0,No, Non Graduate,Salaried,105000,119708,48,600,200000,95, Approved
819,54,Female,2,2,No, Non Graduate,Salaried,138000,125539,48,709,215000,53.05, Approved
820,40,Female,5,1,No,       Graduate,Self-Employed,47000,25956,12,642,213000,95, Approved
821,55,Male,0,3,Yes, Non Graduate,Self-Employed,66000,127180,48,423,148000,53.66,Rejected
822,41,Female,0,1,No, Non Graduate,Salaried,117000,150000,36,900,234000,95, Approved
823,68,Female,2,0,Yes,       Graduate,Salaried,167000,150000,48,415,223000,40, Rejected
824,41,Male,4,3,Yes,       Graduate,Self-Employed,106000,138538,24,645,220000,77.19, Approved
825,22,Male,0,2,No, Non Graduate,Unemployed,23000,11738,12,742,142000,91.99, Approved
826,18,Male,4,0,No, Non Graduate,Self-Employed,41000,43230,24,724,220000,95, Approved
827,30,Female,1,0,Yes,       Graduate,Salaried,17000,29388,72,707,220000,59.66, Approved
828,22,Female,5,1,No, Non Graduate,Unemployed,26000,96619,24,780,215000,95, Approved
829,32,Male,4,3,No, Non Graduate,Salaried,75000,150000,12,538,203000,95, Rejected
830,49,Male,2,1,No,       Graduate,Salaried,104000,150000,12,706,221000,56.44, Approved
831,53,Female,0,1,No,       Graduate,Salaried,90000,150000,24,811,199000,95, Approved
832,23,Male,2,1,No,       Graduate,Salaried,37000,49137,48,849,217000,79.32, Approved
833,69,Female,3,3,Yes,       Graduate,Unemployed,0,36179,24,880,204000,83.52, Approved
834,19,Female,5,1,Yes, Non Graduate,Salaried,51000,74788,60,664,242000,62.32, Approved
835,33,Female,5,0,No,       Graduate,Salaried,42000,150000,48,465,196000,80.35,Rejected
836,29,Female,3,1,Yes, Non Graduate,Self-Employed,32000,114587,36,786,142000,59.64, Approved
837,61,Female,1,3,No,       Graduate,Freelancer,111000,150000,72,326,197000,73.37, Rejected
838,62,Male,0,0,Yes, Non Graduate,Self-Employed,163000,132192,24,399,200000,65.71, Rejected
839,52,Male,2,3,Yes, Non Graduate,Freelancer,33000,135039,36,841,227000,79.09, Approved
840,68,Male,2,3,Yes, Non Graduate,Self-Employed,0,129830,36,638,196000,70.32, Approved
841,48,Male,4,0,Yes,       Graduate,Self-Employed,76000,55558,24,478,257000,81.01, Rejected
842,41,Male,0,2,No,       Graduate,Salaried,121000,150000,36,600,145000,80.76, Approved
843,22,Female,0,1,Yes,       Graduate,Salaried,34000,94016,72,768,215000,48.66, Approved
844,35,Female,0,1,No, Non Graduate,Freelancer,40000,78097,12,523,212000,92.86,Approved
845,39,Female,2,2,Yes,       Graduate,Salaried,49000,27469,60,327,255000,40, Rejected
846,38,Male,1,3,No,       Graduate,Salaried,27000,58177,60,799,202000,81.78, Approved
847,30,Female,5,2,Yes,       Graduate,Self-Employed,57000,29527,36,803,270000,56.93, Approved
848,26,Female,2,1,No,       Graduate,Unemployed,26000,55831,36,524,143000,95, Rejected
849,30,Female,1,1,No,       Graduate,Self-Employed,85000,148334,12,506,143000,95,Approved
850,44,Female,1,0,Yes,       Graduate,Student,84000,85338,36,351,148000,82.65, Rejected
851,69,Male,2,1,No,       Graduate,Salaried,0,91099,12,648,147000,73.67, Approved
852,58,Female,1,2,Yes, Non Graduate,Freelancer,77000,128817,48,612,216000,40.03, Approved
853,63,Female,1,2,Yes,       Graduate,Salaried,40000,69319,48,396,220000,62.29, Rejected
854,63,Male,3,1,No, Non Graduate,Salaried,134000,150000,72,458,244000,95, Rejected
855,31,Male,3,1,No,       Graduate,Self-Employed,66000,79510,24,488,142000,51.58, Rejected
856,57,Male,4,3,No,       Graduate,Salaried,78000,65907,48,475,285000,63.96, Rejected
857,50,Male,1,2,No, Non Graduate,Salaried,102000,150000,36,417,230000,80.6, Rejected
858,62,Male,2,3,Yes, Non Graduate,Salaried,0,89674,60,781,193000,95, Approved
859,25,Male,1,0,Yes, Non Graduate,Self-Employed,45000,82945,24,337,263000,68.91, Rejected
860,33,Female,0,3,No, Non Graduate,Salaried,90000,87332,60,511,239000,59.13,Approved
861,45,Female,4,3,No,       Graduate,Salaried,117000,90211,72,837,196000,85.13, Approved
862,53,Male,1,0,Yes, Non Graduate,Salaried,120000,125452,36,810,230000,72.01, Approved
863,43,Male,2,3,No, Non Graduate,Self-Employed,64000,88281,36,588,249000,95, Approved
864,65,Male,5,3,No,       Graduate,Freelancer,0,135316,12,870,214000,88.23, Approved
865,58,Female,0,2,No, Non Graduate,Self-Employed,86000,150000,72,733,241000,58.14, Approved
866,58,Female,5,2,Yes, Non Graduate,Self-Employed,140000,150000,36,348,199000,49.35, Rejected
867,66,Female,0,1,Yes, Non Graduate,Salaried,0,79934,18,741,147000,76.92, Approved
868,67,Male,3,2,Yes, Non Graduate,Freelancer,108000,116691,36,306,228000,73.46, Rejected
869,41,Female,2,1,No,       Graduate,Salaried,91000,84047,48,428,147000,80.05, Rejected
870,28,Male,3,1,No,       Graduate,Salaried,49000,66351,72,455,241000,67.36,Rejected
871,65,Male,1,1,No, Non Graduate,Self-Employed,68000,63518,36,356,147000,81.79,Rejected
872,70,Male,0,1,Yes,       Graduate,Freelancer,0,46306,24,594,147000,54.05, Approved
873,60,Female,0,0,Yes, Non Graduate,Salaried,0,150000,48,844,212000,53.43, Approved
874,68,Male,4,0,Yes,       Graduate,Salaried,0,150000,60,771,147000,88.45, Approved
875,28,Male,2,3,No,       Graduate,Self-Employed,14000,11543,48,622,233000,80.24, Approved
876,55,Female,1,2,No, Non Graduate,Unemployed,58000,89423,60,480,208000,63.86, Rejected
877,23,Male,4,3,No,       Graduate,Salaried,16000,47814,12,337,144000,95, Rejected
878,39,Male,1,3,No,       Graduate,Salaried,34000,135692,72,698,242000,75.7, Approved
879,43,Male,4,3,No, Non Graduate,Salaried,115000,150000,12,302,149000,52.23, Rejected
880,39,Female,1,1,No, Non Graduate,Salaried,27000,67715,24,349,212000,85.06, Rejected
881,67,Male,0,3,No,       Graduate,Salaried,41000,140923,24,482,229000,51.99, Rejected
882,36,Male,2,0,Yes,       Graduate,Salaried,39000,140445,36,429,284000,56.54, Rejected
883,39,Female,4,1,No,       Graduate,Freelancer,62000,69623,60,471,237000,56.05, Rejected
884,54,Female,0,1,Yes,       Graduate,Salaried,114000,100865,48,895,142000,43.34, Approved
885,45,Female,1,0,No, Non Graduate,Self-Employed,32000,119674,48,757,232000,82.85, Approved
886,22,Male,2,1,Yes,       Graduate,Self-Employed,53000,150000,48,777,224000,53.36, Approved
887,35,Female,5,2,No, Non Graduate,Salaried,80000,150000,48,761,270000,67.79, Approved
888,44,Female,1,0,No,       Graduate,Salaried,107000,150000,24,821,199000,95, Approved
889,67,Male,4,0,No, Non Graduate,Salaried,0,78274,72,662,205000,91.18, Approved
890,42,Male,2,2,Yes, Non Graduate,Self-Employed,61000,123055,48,350,213000,74.14, Rejected
891,64,Male,4,3,Yes, Non Graduate,Self-Employed,187000,89885,24,321,150000,70.17, Rejected
892,28,Female,3,3,No,       Graduate,Salaried,18000,27625,48,368,144000,58.16, Rejected
893,53,Male,4,0,No,       Graduate,Salaried,39000,77321,48,455,214000,51.47, Rejected
894,37,Male,5,1,Yes, Non Graduate,Salaried,59000,150000,72,744,246000,65.07, Approved
895,42,Male,1,2,No,       Graduate,Salaried,96000,99093,36,806,201000,89.9, Approved
896,52,Female,0,0,No,       Graduate,Salaried,88000,150000,18,456,246000,92.86, Rejected
897,21,Male,5,0,Yes,       Graduate,Self-Employed,51000,55226,72,719,143000,73.5, Approved
898,33,Female,4,1,Yes,       Graduate,Salaried,68000,56352,48,668,224000,40, Approved
899,39,Female,0,1,Yes,       Graduate,Self-Employed,104000,150000,60,494,213000,84.89, Rejected
900,42,Female,4,1,No, Non Graduate,Self-Employed,71000,36872,12,841,193000,95, Approved
901,55,Female,0,1,No,       Graduate,Salaried,74000,85674,48,721,147000,87.06, Approved
902,66,Female,5,0,Yes,       Graduate,Salaried,40000,58029,36,414,259000,64.56, Rejected
903,64,Female,5,3,No, Non Graduate,Self-Employed,0,150000,72,812,226000,67.92, Approved
904,67,Female,1,3,Yes, Non Graduate,Self-Employed,0,150000,72,832,209000,74.47, Approved
905,30,Male,2,2,Yes,       Graduate,Salaried,42000,124685,48,571,150000,40, Approved
906,40,Male,5,2,Yes, Non Graduate,Salaried,108000,150000,18,459,211000,63.73, Rejected
907,37,Female,2,1,Yes,       Graduate,Salaried,92000,150000,36,592,199000,40, Approved
908,29,Female,5,2,No,       Graduate,Self-Employed,34000,100865,48,527,196000,57.44, Rejected
909,66,Female,4,2,Yes, Non Graduate,Self-Employed,172000,114830,48,333,220000,65.33, Rejected
910,53,Male,3,1,No, Non Graduate,Self-Employed,122000,138382,72,532,224000,95, Rejected
911,48,Male,2,0,No,       Graduate,Self-Employed,27000,127784,24,754,285000,75.69, Approved
912,19,Female,0,1,No,       Graduate,Self-Employed,29000,122504,60,835,210000,95,Approved
913,29,Male,4,0,No,       Graduate,Student,67000,146404,48,592,237000,79.93,Rejected
914,35,Male,0,1,Yes,       Graduate,Salaried,99000,110693,60,553,142000,68.84, Approved
915,69,Male,2,2,No,       Graduate,Self-Employed,0,78117,12,806,208000,69.04, Approved
916,39,Female,4,1,Yes,       Graduate,Freelancer,35000,128453,48,378,213000,40,Rejected
917,25,Female,1,0,Yes, Non Graduate,Self-Employed,35000,68994,36,534,223000,72.27, Approved
918,55,Female,1,2,Yes, Non Graduate,Salaried,86000,128916,72,400,246000,70.54, Rejected
919,47,Female,3,2,No,       Graduate,Self-Employed,117000,150000,72,543,237000,54.84, Rejected
920,69,Female,0,2,No, Non Graduate,Self-Employed,0,102726,36,715,266000,53.98, Approved
921,36,Female,4,1,Yes,       Graduate,Unemployed,57000,123522,12,684,199000,77.63, Approved
922,61,Female,3,0,No, Non Graduate,Salaried,84000,150000,72,346,223000,84.08, Rejected
923,37,Male,1,1,Yes,       Graduate,Student,102000,69761,24,669,262000,85.04, Approved
924,51,Male,2,0,No, Non Graduate,Salaried,84000,124082,12,566,228000,79.42, Approved
925,65,Male,0,1,Yes, Non Graduate,Freelancer,156000,150000,60,361,149000,71.09, Rejected
926,43,Female,5,1,Yes,       Graduate,Salaried,67000,150000,48,333,247000,40, Rejected
927,34,Female,3,2,No, Non Graduate,Salaried,70000,76197,18,335,198000,95, Rejected
928,68,Male,3,2,Yes,       Graduate,Salaried,113000,150000,36,558,146000,50.71,Rejected
929,64,Female,1,0,Yes, Non Graduate,Salaried,48000,97574,36,436,208000,78.45, Rejected
930,43,Male,1,3,Yes, Non Graduate,Freelancer,30000,32865,36,371,219000,84.01, Rejected
931,58,Male,2,2,Yes, Non Graduate,Salaried,59000,150000,48,515,218000,63.56, Rejected
932,18,Female,0,2,No, Non Graduate,Salaried,42000,42927,12,599,215000,87.61, Approved
933,22,Female,0,2,No, Non Graduate,Salaried,27000,133160,72,728,146000,68.82, Approved
934,18,Male,2,1,No, Non Graduate,Self-Employed,16000,80046,36,679,144000,84.01, Approved
935,32,Male,3,1,No,       Graduate,Self-Employed,85000,89692,12,399,204000,59.43,Rejected
936,60,Female,3,1,No, Non Graduate,Self-Employed,0,110048,36,819,280000,95, Approved
937,57,Female,1,2,No,       Graduate,Salaried,104000,150000,48,308,208000,70.46, Rejected
938,22,Female,5,0,No,       Graduate,Self-Employed,14000,11062,36,730,215000,57.11, Approved
939,58,Male,4,3,Yes, Non Graduate,Salaried,50000,150000,18,312,209000,48.16, Rejected
940,61,Female,3,2,No, Non Graduate,Self-Employed,0,104494,48,740,148000,83.7, Approved
941,18,Male,5,0,Yes,       Graduate,Freelancer,19000,74920,60,522,147000,85.65, Rejected
942,54,Female,4,1,No,       Graduate,Salaried,47000,107164,48,702,248000,88.38, Approved
943,52,Male,4,0,No, Non Graduate,Freelancer,45000,56954,72,447,206000,56.11, Rejected
944,62,Male,5,3,No,       Graduate,Salaried,0,118382,36,829,230000,71.65, Approved
945,36,Female,2,0,No,       Graduate,Salaried,38000,110344,72,727,215000,70.38, Approved
946,31,Male,5,1,No, Non Graduate,Freelancer,48000,57229,72,509,258000,64.13, Rejected
947,54,Female,3,0,No,       Graduate,Salaried,60000,150000,24,745,242000,93.72, Approved
948,31,Female,1,0,Yes, Non Graduate,Freelancer,20000,73202,18,513,213000,49.73,Approved
949,21,Female,2,1,No, Non Graduate,Salaried,51000,64327,12,372,147000,88.34, Rejected
950,42,Male,2,2,No,       Graduate,Salaried,80000,55585,72,411,219000,82.69, Rejected
951,55,Female,4,0,Yes,       Graduate,Self-Employed,109000,150000,72,495,224000,77.98, Rejected
952,63,Male,5,1,No, Non Graduate,Salaried,0,63830,36,827,226000,95, Approved
953,51,Female,4,1,No, Non Graduate,Salaried,97000,73145,60,820,205000,54.2, Approved
954,29,Male,5,1,Yes,       Graduate,Salaried,76000,77018,24,660,255000,83.65, Approved
955,20,Female,0,3,No, Non Graduate,Freelancer,37000,29768,24,563,269000,66.73, Approved
956,41,Male,1,0,No, Non Graduate,Salaried,79000,65231,18,883,217000,78.7, Approved
957,22,Male,0,0,No, Non Graduate,Freelancer,37000,93955,48,387,206000,74.49, Rejected
958,70,Female,1,0,No,       Graduate,Salaried,0,86631,36,613,225000,65.32, Approved
959,64,Male,0,0,Yes, Non Graduate,Salaried,155000,150000,24,335,142000,40, Rejected
960,40,Male,1,1,No,       Graduate,Salaried,73000,150000,24,795,145000,93.79, Approved
961,45,Male,1,3,No,       Graduate,Self-Employed,92000,84760,48,369,144000,70.73, Rejected
962,36,Female,4,2,No,       Graduate,Student,90000,78640,24,888,213000,95, Approved
963,38,Male,4,0,Yes, Non Graduate,Salaried,112000,137548,36,742,216000,95, Approved
964,67,Male,0,0,Yes,       Graduate,Self-Employed,0,139096,36,874,252000,42.42, Approved
965,40,Female,1,2,No,       Graduate,Freelancer,92000,98627,36,691,276000,95, Approved
966,63,Female,3,0,No, Non Graduate,Freelancer,0,150000,48,762,253000,95, Approved
967,38,Male,1,1,No,       Graduate,Salaried,111000,150000,60,324,261000,70.62, Rejected
968,19,Female,4,0,No, Non Graduate,Salaried,17000,49819,48,777,194000,51.03, Approved
969,56,Male,0,2,No,       Graduate,Self-Employed,151000,106999,36,662,228000,94.14, Approved
970,60,Male,2,3,No, Non Graduate,Salaried,42000,136129,12,462,143000,88.57, Rejected
971,41,Male,3,1,No, Non Graduate,Salaried,78000,53073,60,609,150000,95, Approved
972,25,Female,5,2,No,       Graduate,Salaried,23000,28050,48,590,228000,78.79,Rejected
973,57,Female,3,0,Yes,       Graduate,Salaried,128000,150000,60,779,240000,46.86, Approved
974,41,Female,2,0,No,       Graduate,Salaried,49000,108790,48,641,196000,95, Approved
975,35,Male,0,2,Yes,       Graduate,Salaried,71000,115488,36,752,207000,40, Approved
976,70,Male,0,3,Yes,       Graduate,Self-Employed,86000,150000,18,305,220000,83.66, Rejected
977,41,Male,4,2,No, Non Graduate,Unemployed,67000,110169,36,546,225000,95, Rejected
978,25,Male,2,2,No,       Graduate,Freelancer,38000,150000,60,833,209000,80.2, Approved
979,29,Female,2,2,No, Non Graduate,Salaried,85000,102853,24,421,146000,92.4, Rejected
980,39,Female,5,1,No,       Graduate,Salaried,57000,43932,18,639,227000,81.32, Approved
981,57,Female,3,3,Yes,       Graduate,Self-Employed,135000,150000,12,735,225000,46.71, Approved
982,69,Female,0,0,Yes, Non Graduate,Salaried,76000,150000,72,377,196000,54.92, Rejected
983,26,Male,3,1,Yes, Non Graduate,Salaried,53000,100247,18,310,228000,73.55, Rejected
984,63,Male,4,2,Yes,       Graduate,Self-Employed,0,73277,48,695,146000,69.81, Approved
985,34,Female,1,0,Yes, Non Graduate,Self-Employed,89000,150000,60,355,150000,59.93,Rejected
986,45,Female,1,3,Yes, Non Graduate,Salaried,113000,73452,72,525,291000,40,Approved
987,23,Male,5,0,No, Non Graduate,Salaried,32000,76107,36,330,150000,93.63, Rejected
988,19,Male,5,1,Yes,       Graduate,Self-Employed,42000,123996,60,625,240000,95, Approved
989,31,Male,3,0,No, Non Graduate,Unemployed,90000,113178,12,644,254000,90.48, Approved
990,26,Female,5,0,No, Non Graduate,Salaried,55000,111725,72,865,206000,63.77, Approved
991,61,Male,1,2,Yes,       Graduate,Self-Employed,0,54156,12,661,222000,94.35, Approved
992,53,Male,2,0,No, Non Graduate,Freelancer,95000,112953,24,884,198000,95, Approved
993,22,Female,5,0,Yes,       Graduate,Student,60000,63920,18,803,149000,79.19, Approved
994,69,Male,2,2,Yes,       Graduate,Salaried,0,80437,24,800,148000,76.59, Approved
995,56,Male,2,2,No,       Graduate,Self-Employed,151000,150000,24,796,220000,86.02, Approved
996,30,Female,4,3,Yes, Non Graduate,Salaried,36000,132405,12,716,229000,89.22, Approved
997,28,Female,0,0,No,       Graduate,Salaried,40000,73612,12,479,146000,95, Rejected
998,64,Female,3,0,Yes, Non Graduate,Salaried,0,150000,72,810,233000,40, Approved
999,67,Female,0,3,No,       Graduate,Freelancer,0,126670,48,568,282000,95, Approved
1000,60,Female,0,0,Yes,       Graduate,Student,0,88651,48,842,223000,73.26, Approved
1001,67,Female,3,2,Yes, Non Graduate,Salaried,0,89625,36,806,206000,62.25, Approved
1002,21,Male,1,2,No,       Graduate,Salaried,48000,70460,12,722,197000,67.26, Approved
1003,43,Female,5,1,No, Non Graduate,Self-Employed,94000,107826,72,442,200000,87.38, Rejected
1004,45,Male,3,3,No,       Graduate,Salaried,38000,108268,12,360,233000,52.86, Rejected
1005,68,Female,3,2,No, Non Graduate,Salaried,140000,150000,72,461,150000,85.12, Rejected
1006,48,Female,2,2,No,       Graduate,Salaried,87000,150000,12,735,227000,76.04, Approved
1007,53,Female,4,2,No,       Graduate,Freelancer,51000,64980,36,761,251000,95, Approved
1008,21,Female,0,2,No,       Graduate,Student,28000,59623,24,653,221000,64.67, Approved
1009,27,Male,0,2,Yes, Non Graduate,Salaried,46000,71727,18,726,205000,83.28, Approved
1010,64,Male,1,3,No,       Graduate,Freelancer,0,88914,18,617,206000,72.43, Approved
1011,29,Male,0,2,No,       Graduate,Salaried,77000,72113,24,460,233000,62.07, Rejected
1012,27,Female,1,1,No, Non Graduate,Self-Employed,80000,122541,60,306,202000,58.25, Rejected
1013,35,Male,5,1,Yes,       Graduate,Salaried,29000,104683,60,471,202000,40.84, Rejected
1014,30,Male,1,3,Yes,       Graduate,Salaried,45000,150000,36,628,143000,56.73, Approved
1015,68,Female,3,0,No,       Graduate,Self-Employed,65000,150000,48,404,219000,72.78, Rejected
1016,67,Male,2,0,No,       Graduate,Salaried,0,111843,12,804,235000,79.9, Approved
1017,32,Female,3,2,No, Non Graduate,Freelancer,83000,150000,24,804,243000,95, Approved
1018,50,Female,1,3,No, Non Graduate,Salaried,64000,150000,36,502,143000,95,Approved
1019,19,Female,0,3,No,       Graduate,Salaried,30000,127408,36,861,144000,67.62, Approved
1020,63,Male,2,0,Yes, Non Graduate,Salaried,0,95424,72,555,206000,40, Approved
1021,42,Female,0,1,Yes, Non Graduate,Salaried,52000,116976,12,351,197000,95, Rejected
1022,43,Male,2,2,Yes, Non Graduate,Self-Employed,109000,150000,36,358,226000,79.3, Rejected
1023,46,Female,5,0,No,       Graduate,Self-Employed,88000,150000,18,836,256000,55.88, Approved
1024,70,Male,4,1,Yes, Non Graduate,Salaried,38000,108528,48,554,149000,81.04,Rejected
1025,46,Male,3,0,Yes,       Graduate,Salaried,66000,150000,18,443,230000,46.44,Rejected
1026,56,Female,5,2,No, Non Graduate,Salaried,121000,150000,48,725,214000,95, Approved
1027,53,Female,2,3,Yes, Non Graduate,Salaried,84000,150000,12,818,220000,81.84, Approved
1028,26,Female,1,0,No, Non Graduate,Self-Employed,44000,102077,72,670,145000,87.67, Approved
1029,69,Male,0,1,No,       Graduate,Freelancer,202000,150000,48,414,228000,75.99, Rejected
1030,45,Female,2,0,No, Non Graduate,Self-Employed,95000,148983,48,887,245000,94.02, Approved
1031,23,Male,3,0,No,       Graduate,Salaried,49000,97665,36,409,147000,70.93, Rejected
1032,42,Female,1,2,Yes, Non Graduate,Salaried,108000,67767,12,679,209000,77.79, Approved
1033,38,Male,4,2,Yes,       Graduate,Freelancer,62000,73812,36,478,254000,78.18, Rejected
1034,55,Male,3,0,No,       Graduate,Self-Employed,35000,53607,36,752,224000,76.15, Approved
1035,32,Female,0,1,Yes,       Graduate,Self-Employed,53000,150000,36,616,143000,85.52, Approved
1036,29,Male,2,3,No, Non Graduate,Salaried,46000,59479,48,842,149000,85.89, Approved
1037,37,Male,3,0,No,       Graduate,Salaried,24000,51600,24,840,217000,71.32, Approved
1038,48,Male,3,0,No,       Graduate,Salaried,64000,100000,36,430,146000,91.73, Rejected
1039,54,Male,4,2,No, Non Graduate,Salaried,93000,150000,48,351,145000,95, Rejected
1040,31,Male,5,3,Yes, Non Graduate,Salaried,52000,83004,36,347,142000,40, Rejected
1041,44,Male,3,0,No, Non Graduate,Self-Employed,29000,32299,48,576,229000,77.84,Rejected
1042,46,Male,0,2,No, Non Graduate,Salaried,57000,91098,60,799,261000,95, Approved
1043,53,Male,1,3,Yes, Non Graduate,Salaried,55000,122289,36,550,229000,84.61, Approved
1044,68,Male,2,1,No,       Graduate,Salaried,0,138901,18,878,275000,95, Approved
1045,55,Female,3,1,No,       Graduate,Salaried,140000,120398,48,895,193000,95, Approved
1046,70,Female,4,3,Yes, Non Graduate,Salaried,0,150000,48,603,212000,77.97, Approved
1047,42,Female,2,3,No, Non Graduate,Salaried,125000,104996,48,325,220000,73.94, Rejected
1048,46,Male,2,2,Yes,       Graduate,Self-Employed,126000,83066,36,393,245000,67.26,Rejected
1049,64,Male,3,3,Yes,       Graduate,Freelancer,0,150000,36,612,246000,43.68, Approved
1050,23,Female,0,3,Yes,       Graduate,Salaried,19000,90276,24,553,250000,86.51, Approved
1051,34,Female,0,0,No, Non Graduate,Self-Employed,99000,150000,12,389,196000,95, Rejected
1052,43,Male,0,2,Yes,       Graduate,Unemployed,106000,150000,36,782,255000,53.37, Approved
1053,26,Male,3,3,No,       Graduate,Self-Employed,36000,80245,48,493,254000,54.46, Rejected
1054,39,Male,5,3,Yes,       Graduate,Salaried,107000,150000,36,629,228000,74.55, Approved
1055,20,Female,5,3,Yes, Non Graduate,Unemployed,43000,139347,72,419,262000,49.5, Rejected
1056,48,Female,2,1,No, Non Graduate,Salaried,35000,140731,12,444,243000,51.17, Rejected
1057,50,Male,5,3,No, Non Graduate,Salaried,80000,69288,60,301,240000,82.44, Rejected
1058,55,Male,0,2,No,       Graduate,Salaried,155000,107011,72,479,150000,64.02, Rejected
1059,64,Female,3,2,No, Non Graduate,Salaried,44000,115898,24,424,207000,68.97, Rejected
1060,23,Male,0,2,No,       Graduate,Salaried,33000,85455,12,469,234000,66.29, Rejected
1061,34,Female,4,2,Yes, Non Graduate,Self-Employed,35000,83919,36,897,233000,73.61, Approved
1062,40,Male,3,2,Yes, Non Graduate,Salaried,105000,143449,18,477,238000,54.28, Rejected
1063,23,Male,3,0,No, Non Graduate,Self-Employed,50000,150000,48,509,237000,92.79, Rejected
1064,49,Male,0,0,Yes,       Graduate,Salaried,114000,150000,72,752,207000,44.46, Approved
1065,21,Female,0,2,No, Non Graduate,Unemployed,24000,47508,60,875,231000,83.08, Approved
1066,45,Male,2,2,Yes, Non Graduate,Self-Employed,64000,139414,36,343,234000,85.18, Rejected
1067,36,Female,0,3,No,       Graduate,Salaried,65000,110503,24,819,198000,52.49, Approved
1068,47,Female,2,0,No,       Graduate,Self-Employed,91000,92693,60,433,230000,85.78,Rejected
1069,40,Male,1,2,No, Non Graduate,Freelancer,64000,75584,48,768,248000,53.51, Approved
1070,68,Female,2,3,Yes,       Graduate,Salaried,0,87834,12,714,210000,71.2, Approved
1071,55,Male,2,1,Yes, Non Graduate,Salaried,123000,91176,48,531,237000,81.89, Rejected
1072,61,Male,0,0,Yes,       Graduate,Self-Employed,0,43282,60,529,146000,40,Approved
1073,24,Female,1,0,No, Non Graduate,Salaried,66000,150000,18,448,208000,53.29, Rejected
1074,30,Female,1,1,No,       Graduate,Salaried,81000,150000,60,584,251000,81.65, Approved
1075,54,Male,1,3,No,       Graduate,Freelancer,30000,130440,48,501,274000,50.76, Approved
1076,67,Female,2,2,No, Non Graduate,Salaried,0,150000,12,848,205000,75.98, Approved
1077,45,Male,4,0,No, Non Graduate,Salaried,91000,150000,48,586,142000,63.61,Rejected
1078,24,Male,1,1,Yes,       Graduate,Salaried,67000,115024,72,386,273000,95, Rejected
1079,32,Male,5,1,No, Non Graduate,Student,24000,44737,60,301,248000,66.41, Rejected
1080,53,Male,2,2,Yes,       Graduate,Self-Employed,108000,72294,48,653,222000,66.69, Approved
1081,67,Male,4,1,No,       Graduate,Student,82000,150000,72,448,242000,60.11, Rejected
1082,46,Female,1,2,No, Non Graduate,Salaried,64000,80671,48,696,210000,94.3, Approved
1083,51,Male,1,2,Yes,       Graduate,Salaried,147000,98491,18,707,221000,46.34, Approved
1084,21,Female,2,3,Yes, Non Graduate,Freelancer,23000,56323,24,429,215000,50.21, Rejected
1085,22,Female,4,1,No, Non Graduate,Salaried,38000,124787,48,631,206000,54.3, Approved
1086,54,Female,5,0,No, Non Graduate,Salaried,109000,150000,48,446,243000,55.2,Rejected
1087,24,Female,0,0,No,       Graduate,Unemployed,61000,143662,12,705,194000,89.5, Approved
1088,47,Female,3,3,No, Non Graduate,Self-Employed,32000,22004,60,709,200000,55.03, Approved
1089,20,Male,4,0,No, Non Graduate,Self-Employed,58000,80881,48,739,196000,93.77, Approved
1090,24,Male,3,0,Yes,       Graduate,Salaried,51000,126524,60,336,221000,40, Rejected
1091,60,Female,4,3,Yes,       Graduate,Self-Employed,0,84131,48,898,199000,81.11, Approved
1092,40,Female,4,3,Yes, Non Graduate,Salaried,83000,128047,24,558,195000,72.03,Rejected
1093,49,Male,3,2,No,       Graduate,Freelancer,41000,99765,18,589,145000,71.93,Rejected
1094,21,Female,2,0,Yes,       Graduate,Salaried,43000,95581,36,301,142000,95, Rejected
1095,29,Male,2,1,Yes, Non Graduate,Salaried,23000,16254,36,516,262000,66.34, Rejected
1096,64,Male,5,3,Yes, Non Graduate,Salaried,127000,83917,18,315,145000,50.39, Rejected
1097,36,Male,3,3,No, Non Graduate,Self-Employed,26000,52381,36,546,143000,95, Rejected
1098,59,Male,0,3,No, Non Graduate,Salaried,0,150000,60,559,235000,92.57, Approved
1099,43,Male,3,0,Yes,       Graduate,Freelancer,26000,49696,24,350,950000,94.2,Rejected
1100,19,Female,1,3,Yes,       Graduate,Self-Employed,48000,27295,48,583,930000,52.38, Approved
1101,45,Female,2,1,No, Non Graduate,Unemployed,97000,150000,24,874,440000,66.5, Approved
